sid,name,cname
sz002345,潮宏基,O2O模式
sz002419,天虹商场,O2O模式
sz002425,凯撒股份,O2O模式
sz002444,巨星科技,O2O模式
sz002477,雏鹰农牧,O2O模式
sz002503,搜于特,O2O模式
sz002538,司尔特,O2O模式
sz002561,徐家汇,O2O模式
sz002563,森马服饰,O2O模式
sz002697,红旗连锁,O2O模式
sz300005,探路者,O2O模式
sz300027,华谊兄弟,O2O模式
sz300085,银之杰,O2O模式
sz300131,英唐智控,O2O模式
sz300177,中海达,O2O模式
sz300205,天喻信息,O2O模式
sz300220,金运激光,O2O模式
sz300232,洲明科技,O2O模式
sz300244,迪安诊断,O2O模式
sh600061,国投安信,碳纤维
sh600143,金发科技,碳纤维
sh600146,商赢环球,碳纤维
sh600516,方大炭素,碳纤维
sh600688,上海石化,碳纤维
sh600869,智慧能源,碳纤维
sh601208,东材科技,碳纤维
sh603077,和邦生物,碳纤维
sz000420,吉林化纤,碳纤维
sz000687,华讯方舟,碳纤维
sz000928,中钢国际,碳纤维
sz002019,亿帆鑫富,碳纤维
sz002168,深圳惠程,碳纤维
sz002254,泰和新材,碳纤维
sz002297,博云新材,碳纤维
sz300095,华伍股份,碳纤维
sh600017,日照港,日韩贸易
sh600060,海信电器,日韩贸易
sh600190,锦州港,日韩贸易
sh600229,城市传媒,日韩贸易
sh600336,澳柯玛,日韩贸易
sh600690,青岛海尔,日韩贸易
sh600735,新华锦,日韩贸易
sh601000,唐山港,日韩贸易
sh601008,连云港,日韩贸易
sz000416,民生控股,日韩贸易
sz000599,青岛双星,日韩贸易
sz000739,普洛药业,日韩贸易
sz002073,软控股份,日韩贸易
sz002094,青岛金王,日韩贸易
sz002498,汉缆股份,日韩贸易
sz002537,海立美达,日韩贸易
sz002545,东方铁塔,日韩贸易
sz300001,特锐德,日韩贸易
sz300110,华仁药业,日韩贸易
sz300183,东软载波,日韩贸易
sz300208,恒顺众昇,日韩贸易
sh600096,云天化,聚氨酯
sh600299,安迪苏,聚氨酯
sh600309,万华化学,聚氨酯
sh600426,华鲁恒升,聚氨酯
sh600618,氯碱化工,聚氨酯
sh600810,神马股份,聚氨酯
sh601678,滨化股份,聚氨酯
sz000584,友利控股,聚氨酯
sz000755,山西三维,聚氨酯
sz000818,方大化工,聚氨酯
sz000912,泸天化,聚氨酯
sz000949,新乡化纤,聚氨酯
sz000973,佛塑科技,聚氨酯
sz002014,永新股份,聚氨酯
sz002064,华峰氨纶,聚氨酯
sz002165,"红 宝 丽",聚氨酯
sz002246,北化股份,聚氨酯
sz002254,泰和新材,聚氨酯
sz002408,齐翔腾达,聚氨酯
sz002409,雅克科技,聚氨酯
sz300343,联创股份,聚氨酯
sh600089,特变电工,多晶硅
sh600131,岷江水电,多晶硅
sh600151,航天机电,多晶硅
sh600206,有研新材,多晶硅
sh600220,江苏阳光,多晶硅
sh600295,鄂尔多斯,多晶硅
sh600438,通威股份,多晶硅
sh600550,保变电气,多晶硅
sh600644,乐山电力,多晶硅
sh601012,隆基股份,多晶硅
sz000012,"南 玻Ａ",多晶硅
sz002006,精功科技,多晶硅
sz002011,盾安环境,多晶硅
sz002083,孚日股份,多晶硅
sz002218,拓日新能,多晶硅
sz002506,协鑫集成,多晶硅
sz300029,天龙光电,多晶硅
sz300316,晶盛机电,多晶硅
sh600082,海泰发展,天津自贸
sh600225,天津松江,天津自贸
sh600717,天津港,天津自贸
sh600751,天海投资,天津自贸
sh600821,津劝业,天津自贸
sz000695,滨海能源,天津自贸
sz000897,津滨发展,天津自贸
sz000965,天保基建,天津自贸
sz002510,天汽模,天津自贸
sh600127,金健米业,基因测序
sh600645,中源协和,基因测序
sh600993,马应龙,基因测序
sz002022,科华生物,基因测序
sz002030,达安基因,基因测序
sz002118,紫鑫药业,基因测序
sz002642,荣之联,基因测序
sz300216,千山药机,基因测序
sz300244,迪安诊断,基因测序
sz300289,利德曼,基因测序
sh600269,赣粤高速,资产注入
sh600271,航天信息,资产注入
sh600277,亿利洁能,资产注入
sh600295,鄂尔多斯,资产注入
sh600362,江西铜业,资产注入
sh600393,粤泰股份,资产注入
sh600456,宝钛股份,资产注入
sh600497,驰宏锌锗,资产注入
sh600507,方大特钢,资产注入
sh600528,中铁二局,资产注入
sh600547,山东黄金,资产注入
sh600572,康恩贝,资产注入
sh600577,精达股份,资产注入
sh600582,天地科技,资产注入
sh600585,海螺水泥,资产注入
sh600586,金晶科技,资产注入
sh600611,大众交通,资产注入
sh600614,鼎立股份,资产注入
sh600662,强生控股,资产注入
sh600673,东阳光科,资产注入
sh600676,交运股份,资产注入
sh600677,航天通信,资产注入
sh600690,青岛海尔,资产注入
sh600708,光明地产,资产注入
sh600726,华电能源,资产注入
sh600738,兰州民百,资产注入
sh600787,中储股份,资产注入
sh600791,京能置业,资产注入
sh600807,天业股份,资产注入
sh600811,东方集团,资产注入
sh600820,隧道股份,资产注入
sh600831,广电网络,资产注入
sh600836,界龙实业,资产注入
sh600855,航天长峰,资产注入
sh600886,国投电力,资产注入
sh600896,中海海盛,资产注入
sh600961,株冶集团,资产注入
sh600963,岳阳林纸,资产注入
sh601669,中国电建,资产注入
sz000400,许继电气,资产注入
sz000564,西安民生,资产注入
sz000600,建投能源,资产注入
sz000608,阳光股份,资产注入
sz000698,沈阳化工,资产注入
sz000917,电广传媒,资产注入
sz002171,楚江新材,资产注入
sh600012,皖通高速,皖江区域
sh600063,皖维高新,皖江区域
sh600218,全柴动力,皖江区域
